userid,itemid
17883538,349743623
17883538,191368749
91256329,303205878
82532353,3246378
102049484,325976971
79690063,287443283
116836049,346390476
44748590,231837571
116731919,15737672
61443186,168010998
69505718,35595688
33563000,96483196
67743134,51850690
608951,81455724
131662415,114057528
75986489,347320116
75986489,303205878
138008976,171723313
65105058,359916772
140747079,225844327
80954170,356781822
97730927,254220142
25368165,196853054
115393096,193957495
108903107,168302340
2742560,34858955
53135843,231531
117681959,64328966
117681959,371691423
27032913,262389850
139435539,369817212
51771947,192049099
6884739,145502973
48468739,386240762
104816721,204523159
104816721,849756
6931133,284812980
130894601,4000439
73288489,285478276
73547790,9481888
126839170,348066430
126839170,301510528
22802989,39622653
30025100,352459765
91508901,60379359
52256064,203346736
131595891,157428760
126839170,289735781
50372642,68529515
44109897,281337364
72371406,340636532
138008976,136905993
138008976,313100370
138008976,184479763
65479688,279128770
97045271,352879458
21375743,232534626
213655,269526846
62571710,133247477
122679643,349314881
75986489,231045413
104816721,3254284
39222343,36221995
98583943,228836179
69255232,227474082
83600056,163100413
43238774,169410309
801018,251443481
30368071,333752745
64557626,189430641
112171699,248098941
112171699,274347850
136197283,290655287
97730927,327378015
53135843,252551780
53135843,201626917
35941637,247749019
65444509,305613858
106586433,247931703
102827853,20302346
121986222,249480376
89991765,129204067
83543222,293476821
34105528,30508928
102825286,291138285
28370474,389491693
28370474,18600361
103704577,163029017
15688979,260715020
123842164,96684394
111961699,333447153
14664626,235095249
19769406,49002319
104816721,235636583
65105058,123215578
114052885,375495156
96317471,349132003
129377104,335677084
92020710,367604815
127896334,278749895
84640132,314951976
18318788,400405440
1019952,163536125
39876312,184649762
53135843,210995229
53135843,375661893
82924944,65755351
18781926,369088643
140628062,58973962
819791,305861806
77496714,230922615
6957110,5777424
17230300,106035653
130894601,172372287
36738292,378860826
101781721,269075866
48468739,300730058
16017921,13978356
32059002,218277328
88007634,118207953
9710339,42494706
47152738,263131285
67043644,150317581
7959667,157132568
108179658,191375871
117347969,302129390
118194231,316850121
43624984,113544215
80415557,304086224
121948387,88057415
121948387,235463825
116936170,182066991
121948387,105857507
28370474,23367121
24314619,189574792
133665536,141809953
140452690,108775670
117026591,86743488
139435539,24696776
139435539,322174414
109129708,364052526
103704577,192674709
103704577,177093971
112711623,90793477
2742560,321538555
133744457,252902059
14447131,235190624
15171548,102894452
53135843,213401003
103595250,57998298
138008976,97310407
138008976,57299613
138008976,9040695
35534976,355604831
139145544,20339458
43624984,96410172
54133893,151356531
54133893,48123549
77275752,282546171
77275752,272150082
100027681,135579966
14735918,91594308
88007634,182122808
88007634,345140266
97045271,91239135
17230300,5625932
53517495,200163560
37923588,393568875
48468739,42350908
48468739,322995144
104816721,300067000
46288368,379680663
132812306,111973435
140747079,336446328
140747079,261779667
73547790,310616607
96074973,171686678
92020710,277400706
16017921,95100603
137428887,199269252
131595891,224145007
106383829,154936008
106291812,384880446
46387925,364102622
50346435,241747167
52525317,220660451
138008976,322063521
138008976,42710190
138008976,21302441
138008976,300980619
138008976,200835060
138008976,102664086
138442756,195494078
62443822,321174090
78992546,111246982
78992546,140421465
81157363,297778995
65479688,384176131
36738292,155771476
96786739,362547327
46669341,105857507
7341876,178861843
1112140,101276445
105485068,127480581
51169540,97715858
103704577,392577872
91235467,96985470
123596663,241471585
5786807,270325627
82532353,210028911
109522308,214472904
104816721,219957020
52256064,355434012
117026591,17414021
8784082,246832111
62571710,271411997
29716977,131165468
54133893,224023
118545642,299952546
94148058,105493441
60964944,323938685
14447131,81286222
80421496,48785821
106383829,116164898
72371406,357308562
31777926,249141055
82924944,333073762
45986000,135801453
17362237,323232576
115949891,392201599
104551817,176403100
138964981,279014417
54771046,63761762
67743134,245065304
131595891,27923637
83811107,180519153
27662805,3105575
53162708,307169393
10765825,53262619
139725346,244935161
62546002,377323000
53135843,55102620
53135843,276160680
124506934,206882715
36764652,6831192
75986489,45932649
10218711,150473818
29032154,164960059
76896505,104202558
104816721,278758079
109522508,15160795
76073975,203235574
116730636,246621985
116730636,219769221
42031986,87522480
42031986,403243924
138442756,247566420
119990802,114366212
17677320,353744872
36738292,43062744
36738292,311007238
36738292,360632489
90996726,317324324
17719840,147726579
138442756,186898880
34424883,338548916
42526349,266668346
15688979,245241570
98583943,108423009
25952339,311703684
126839170,78453235
43660726,7563670
110873850,241778489
130620874,310126543
72306639,256012785
72306639,9197373
72306639,252082901
116731919,29215583
118282748,398712532
55440618,304872477
86173615,163756677
138008976,390776613
91508901,255205093
119990802,134058902
53135843,61876295
53135843,66612917
100012968,369242754
65340227,343332483
24474599,127931989
43522898,297918924
106383829,318694372
39544337,371470881
120560904,230537329
38103038,234379464
133849127,86858510
117026591,157994244
62546002,40903267
104816721,152630894
38949342,84598009
47551029,144985308
90798792,377551440
475826,170165938
65105058,340754383
102178411,101276445
91301440,323349755
40719208,289417617
126665202,82470259
82924944,379446449
78309060,53501437
7612152,283457444
132812306,364436919
73218701,297071570
116331874,171780536
39416908,268892171
81157363,389501309
110844468,41813818
27499498,269329111
141484663,71249929
140747079,125000438
94148058,126027870
31559991,15183101
483640,391446677
62571710,98781617
6931133,281871142
60559051,111210820
20116814,383450533
10856328,223240484
83058850,227275517
109560964,299851899
100012968,62093986
65444509,265314741
1272577,312095519
73525659,116212666
138008976,215639759
138008976,385682579
138008976,24909692
138008976,346144551
27845176,125666923
37218187,227155566
69050200,113553444
118213394,80446342
88007634,259929808
136197283,251935830
36738292,391999511
78992546,13187460
92767100,377034594
72371406,187390205
52610344,157490064
61114029,403867251
106383829,347832672
109129708,266187049
77374787,70405203
108903107,218094359
108903107,174533422
42503802,12376117
53154333,343732615
133665536,233691278
16017921,205390446
36918674,161315965
120594609,29720568
9328686,60734439
123842164,365398869
53135843,393799878
104816721,186167442
51771947,238724860
117222178,101276445
36738292,329080667
79690063,377462975
109522308,158824352
138008976,311143385
138008976,76439662
138008976,80731768
138008976,346742493
31777926,232534626
50672934,220457950
31850208,286393174
67743134,263986590
61472535,366911878
52256064,121509726
92020710,386589798
60441587,175856028
139145544,130660969
139145544,305539144
77067135,142015520
88007634,76501672
110423160,113037945
132812306,326679249
104143619,176571127
135481793,24186131
2256395,80233719
109553291,52801085
115393096,74866672
7341876,351321950
93127487,188056203
54133893,127500522
66395027,101984666
95720451,198217770
103704577,159139766
76073975,132574826
40719208,82317102
138008976,94555502
138008976,91395214
138008976,344863509
103704577,47340181
103704577,294073033
138442756,376654281
104143619,333028913
31850208,318867343
81471953,361338667
118425520,226757890
128161862,121179482
68100903,169709501
138675523,174802465
48468739,389830569
30025100,364888670
54133893,17531650
93021294,160348058
73746330,336787882
10856328,334047145
112142417,284606575
104816721,304514263
91087067,96750568
120560904,222574097
73491371,216399591
21465106,355989761
107874169,42135673
107874169,190057828
84614339,57698598
131662415,137225577
117026591,81673865
117026591,159048797
